plot,species,cover
RR_02,Abutilon_palmeri,0.05555555555555555
LOLA_02,Abutiton_abutiloides,0.0022222222222222222
LOLA_03,Abutiton_abutiloides,0.0011111111111111111
LOLA_04,Abutiton_abutiloides,0.0011111111111111111
RR_04,Abutiton_abutiloides,0.0022222222222222222
RR_05,Abutiton_abutiloides,0.0011111111111111111
RR_06,Abutiton_abutiloides,0.0011111111111111111
RR_07,Abutiton_abutiloides,0.0011111111111111111
LOLA_01,Acacia_greggii,1.1111111111111112
LOLA_03,Acacia_greggii,0.0011111111111111111
LOLA_04,Acacia_greggii,1.1111111111111112
LOLA_05,Acacia_greggii,0.7777777777777778
LOLA_06,Acacia_greggii,2.2222222222222223
RR_01,Acacia_greggii,0.0011111111111111111
RR_03,Acacia_greggii,0.0011111111111111111
RR_04,Acacia_greggii,2.2222222222222223
RR_05,Acacia_greggii,0.0011111111111111111
RR_06,Acacia_greggii,0.2222222222222222
RR_07,Acacia_greggii,0.0011111111111111111
RR_04,Acacia_sp_unarmed,0.0011111111111111111
RR_05,Acacia_sp_unarmed,0.0011111111111111111
RR_06,Acacia_sp_unarmed,0.3333333333333333
RR_03,Acourtia_wrightii,0.0011111111111111111
RR_03,Agave_schottii,0.0011111111111111111
RR_01,Allionia_incarnata,0.0011111111111111111
RR_02,Allionia_incarnata,0.0011111111111111111
RR_03,Allionia_incarnata,0.022222222222222223
RR_04,Allionia_incarnata,0.0011111111111111111
RR_07,Allionia_incarnata,0.011111111111111112
LOLA_01,Allium_sp,0.0011111111111111111
RR_02,Allium_sp,0.0011111111111111111
RR_03,Allium_sp,0.18888888888888888
RR_06,Allium_sp,0.0011111111111111111
RR_02,Aloysia_wrightii,0.0011111111111111111
RR_01,Amaranthus_palmeri,0.0011111111111111111
RR_03,Ambrosia_ambrosioides,0.0011111111111111111
LOLA_01,Ambrosia_deltoidea,0.4444444444444444
LOLA_02,Ambrosia_deltoidea,0.0022222222222222222
LOLA_03,Ambrosia_deltoidea,0.0011111111111111111
LOLA_04,Ambrosia_deltoidea,0.0011111111111111111
RR_01,Ambrosia_psilostachya,1.3333333333333333
RR_02,Ambrosia_psilostachya,0.0011111111111111111
RR_03,Ambrosia_psilostachya,0.6666666666666666
LOLA_03,Arceuthobium_sp,0.0011111111111111111
LOLA_06,Arceuthobium_sp,0.0011111111111111111
RR_04,Artemisia_ludoviciana,0.0011111111111111111
LOLA_01,Asteraceae_sp,0.0011111111111111111
LOLA_04,Asteraceae_sp,0.011111111111111112
RR_02,Asteraceae_sp,0.2222222222222222
RR_05,Asteraceae_sp,0.0011111111111111111
LOLA_03,Asteraceae_sp_shrub,0.0011111111111111111
RR_01,Ayenia_filiformis,0.023333333333333334
RR_03,Ayenia_filiformis,0.011111111111111112
RR_04,Ayenia_filiformis,0.0011111111111111111
RR_05,Ayenia_filiformis,0.2222222222222222
RR_06,Ayenia_filiformis,0.0011111111111111111
